,diff_rmse,diff_tau,aug_ind
254,0.024558362370503795,0.006060606060605989,"(97567, 58741)"
20,0.03244320781981677,0.004444444444444473,"(26566, 86726)"
154,0.021793459823100242,0.004444444444444473,"(30103, 48495)"
169,0.010252388051730094,0.004040404040404066,"(490, 76781)"
372,0.008459512846412442,0.004040404040404066,"(47459, 32625)"
379,-0.00044904359086439527,0.0036363636363636598,"(19709, 74390)"
54,0.019955063992053906,0.0036363636363635488,"(16172, 10873)"
70,0.0165811808678836,0.0036363636363635488,"(44986, 102)"
197,0.025239122074480647,0.0036363636363635488,"(86920, 51852)"
7,0.030525717670358304,0.0036363636363635488,"(68235, 50317)"
221,0.023768775996469427,0.0036363636363635488,"(17407, 41542)"
137,0.002983910086822139,0.003232323232323253,"(57185, 43933)"
261,0.0011216518829595956,0.003232323232323253,"(59072, 99286)"
22,0.0009095529077868258,0.003232323232323142,"(35083, 58201)"
308,0.00683583607719751,0.003232323232323142,"(96612, 72060)"
387,0.0019470181517952379,0.003232323232323142,"(43149, 84568)"
96,0.012838798267007845,0.0028282828282828465,"(93521, 87770)"
203,0.0162185539327441,0.0028282828282828465,"(51578, 65468)"
337,-0.0004006789092190488,0.0028282828282828465,"(58308, 63597)"
204,-0.0005552059439170587,0.0028282828282828465,"(2822, 40237)"
232,0.009727573841195242,0.0028282828282828465,"(84567, 82202)"
211,0.00046921349725220773,0.0028282828282828465,"(63623, 89976)"
98,0.036462695457180866,0.0028282828282828465,"(35357, 84367)"
156,0.024233982212848004,0.0028282828282828465,"(29382, 46987)"
38,0.049249014544746006,0.0028282828282828465,"(1535, 7616)"
181,0.011804576539498596,0.0028282828282828465,"(29069, 50282)"
102,0.00045509251842462684,0.0028282828282828465,"(64491, 6963)"
99,0.019912805645626752,0.0028282828282828465,"(69535, 72559)"
183,0.0016830261851380757,0.0028282828282828465,"(10240, 34272)"
381,0.0019156838435490098,0.0028282828282828465,"(45840, 44829)"
174,-0.0016824123004954283,0.002424242424242551,"(76171, 76918)"
307,0.001245646843550774,0.002424242424242551,"(22979, 75406)"
278,-9.201324235946773e-05,0.002424242424242551,"(64713, 42734)"
76,-0.00154978283961818,0.002424242424242551,"(52576, 28958)"
175,0.0007457559366433886,0.002424242424242551,"(13774, 57944)"
28,-0.0006118800159913007,0.00242424242424244,"(17111, 52689)"
57,0.008758551176844404,0.00242424242424244,"(43913, 11904)"
72,0.006218368685030451,0.00242424242424244,"(96499, 69974)"
377,0.04243322656523901,0.00242424242424244,"(86949, 34639)"
80,0.0261676452450971,0.00242424242424244,"(31569, 40068)"
244,0.00038883569622055747,0.00242424242424244,"(85191, 41412)"
165,0.004749028620881002,0.00242424242424244,"(94539, 1345)"
114,0.001076871032513388,0.00242424242424244,"(2240, 15657)"
118,0.03656334250332993,0.00242424242424244,"(69301, 94289)"
120,1.80835021274528e-05,0.00242424242424244,"(28622, 53638)"
299,0.00165123274102974,0.00242424242424244,"(70027, 3556)"
298,0.013856865476384705,0.00242424242424244,"(25042, 56872)"
289,-0.0009330499679126025,0.00242424242424244,"(20778, 20121)"
135,-0.0012810382259012543,0.00242424242424244,"(81326, 40874)"
218,0.02443398271444211,0.00242424242424244,"(5678, 87541)"
267,0.03342946417696191,0.00242424242424244,"(9265, 90743)"
199,0.02203639905919713,0.00242424242424244,"(78653, 17518)"
201,-0.00033576176967570204,0.002424242424242329,"(28365, 94911)"
354,0.00015950518614391007,0.002424242424242329,"(2630, 68886)"
330,0.0034070532270458753,0.002424242424242329,"(61268, 59647)"
254,0.0018920331732450446,0.002424242424242329,"(14720, 43796)"
277,0.001309243625422285,0.002424242424242329,"(89120, 80222)"
155,0.001900469531820742,0.002424242424242329,"(92340, 10979)"
121,0.006660715006707174,0.002424242424242329,"(75050, 20659)"
205,0.0008657536417802092,0.002424242424242329,"(60667, 13610)"
217,0.005757102706159922,0.002424242424242329,"(62121, 3791)"
137,0.0001500684345488723,0.002424242424242329,"(51338, 26440)"
260,-0.0003060078335752059,0.002424242424242329,"(49684, 57247)"
204,0.004610071024145707,0.002424242424242329,"(64536, 23257)"
